"","USD.Pledged","State","Backers.Count","Blurb.Length","Blurb.Caps","Campaign.Length","Decision.Timing","Goal","Name.Length","Name.Caps","Category","Category..parent.only.","Country","Spotlight","Staff.Pick"
"227",1249,0,7,135,4,2592000,2592000,5000,31,2,"photography fine art","photography","US",FALSE,FALSE
"229",277.04543096,1,16,79,16,2592000,2592024,50,59,11,"art painting","art","GB",TRUE,FALSE
"230",10529.5066947,1,37,94,3,2592000,2592001,6000,37,6,"fashion pet fashion","fashion","CA",TRUE,FALSE
"231",1562,1,17,35,1,2635921,2635921,1000,30,5,"music","music","US",TRUE,FALSE
"232",0,0,0,100,3,2592000,1577373,3500,51,4,"publishing young adult","publishing","US",FALSE,TRUE
"234",1,0,1,105,15,1882732,1882732,50000,17,4,"food food trucks","food","US",FALSE,FALSE
"235",4371,1,33,135,5,3024000,3024000,2000,27,2,"art painting","art","US",TRUE,FALSE
"236",62.579946,0,1,135,6,2592000,2592002,4000,54,7,"journalism audio","journalism","GB",FALSE,FALSE
"238",57615.40230496,1,538,127,4,2592000,2592000,5000000,32,4,"music world music","music","JP",TRUE,TRUE
"239",85744,1,167,56,5,2595600,2595600,75000,56,11,"technology robots","technology","US",TRUE,FALSE
"240",773,1,12,23,3,919624,919625,750,33,6,"music","music","US",TRUE,FALSE
"241",2661,0,27,89,11,2588400,2588400,33333,20,3,"food drinks","food","US",FALSE,FALSE
"242",23714.26124893,1,35,28,11,2592000,2592001,100000,48,13,"design","design","HK",TRUE,FALSE
"243",102,0,7,81,1,5180400,5180401,300000,57,3,"food drinks","food","US",FALSE,FALSE
"244",0,0,0,131,13,2070000,872882,8800,27,6,"theater immersive","theater","US",FALSE,FALSE
"246",0,0,0,57,2,2592000,2592000,1000,12,3,"publishing young adult","publishing","US",FALSE,FALSE
"249",81.5525227,0,1,124,3,2592000,2592000,400,38,3,"film   video horror","film & video","GB",FALSE,FALSE
"251",0,0,0,111,5,2680661,2680663,5000,14,2,"theater immersive","theater","GB",FALSE,FALSE
"252",1064,1,25,145,19,5355959,5356810,800,33,4,"art conceptual art","art","US",TRUE,TRUE
"253",2993.82395392,0,41,64,1,1814400,1814401,20000,49,7,"theater immersive","theater","GB",FALSE,FALSE
"255",1100.33,1,32,135,11,2073600,2073600,1000,9,3,"photography fine art","photography","US",TRUE,FALSE
"256",0,0,0,135,1,2592000,2592000,8700,59,9,"journalism print","journalism","US",FALSE,FALSE
"257",1,0,1,127,3,5184000,5184001,7000,20,3,"film   video horror","film & video","US",FALSE,FALSE
"258",10154.1299426,1,84,121,1,3888000,3888002,7500,60,3,"food drinks","food","GB",TRUE,FALSE
"260",170,0,6,131,2,2768400,2768401,10000,6,2,"film   video horror","film & video","US",FALSE,FALSE
"261",6335.33493888,1,79,127,6,2592000,2592003,5000,58,3,"music","music","GB",TRUE,TRUE
"262",3400.77,1,85,134,5,3372762,3372793,3400,44,9,"dance","dance","US",TRUE,FALSE
"263",2218,1,81,131,2,1909028,1909056,2000,38,6,"journalism","journalism","US",TRUE,FALSE
"264",3646,1,35,123,4,2974357,2974357,3250,49,5,"dance","dance","US",TRUE,FALSE
"265",5953,0,34,113,7,5180400,5180400,300000,25,4,"technology robots","technology","US",FALSE,TRUE
"266",1199.29384146,0,27,72,1,2588400,2588401,5500,24,3,"food drinks","food","GB",FALSE,FALSE
"267",1565,1,13,79,9,1728000,1728001,1300,27,8,"dance residencies","dance","US",TRUE,FALSE
"268",4286.75,1,52,105,25,2592000,2592001,4000,25,19,"dance workshops","dance","US",TRUE,FALSE
"269",4606.71,1,65,112,1,2592000,2592001,3000,22,2,"dance performances","dance","US",TRUE,TRUE
"270",7621.40581668,1,92,124,2,2612214,2612214,6000,40,5,"food drinks","food","DE",TRUE,TRUE
"271",1000,1,5,119,1,1728000,1728000,1000,34,5,"journalism web","journalism","US",TRUE,FALSE
"272",346,0,11,56,7,5180400,5180400,20000,10,2,"food drinks","food","US",FALSE,FALSE
"273",1693,0,30,119,8,2592000,2592000,6000,56,1,"technology robots","technology","US",FALSE,FALSE
"274",27,0,1,133,8,159162,159165,42762,30,5,"food food trucks","food","US",FALSE,FALSE
"275",3224,1,32,132,4,3306736,3306736,3000,31,5,"dance workshops","dance","US",TRUE,FALSE
"277",20,0,2,135,3,5180400,4296190,4000,60,5,"art conceptual art","art","US",FALSE,FALSE
"278",64.55165064,0,2,131,6,2592000,2592001,700,40,1,"art painting","art","GB",FALSE,FALSE
"279",932,1,21,88,1,5184000,5184000,900,18,3,"publishing young adult","publishing","US",TRUE,FALSE
"280",2072,1,29,35,5,1735996,1735997,2000,31,18,"technology robots","technology","US",TRUE,FALSE
"281",221642,1,1425,101,1,2563929,2563929,50000,58,8,"technology robots","technology","US",TRUE,TRUE
"284",910,1,22,128,6,2592000,2592001,550,18,4,"publishing young adult","publishing","US",TRUE,FALSE
"286",12,0,3,130,3,2592000,2592000,2000,49,1,"food food trucks","food","US",FALSE,FALSE
"287",713,1,24,100,1,2592000,2592000,500,20,4,"food drinks","food","US",TRUE,FALSE
"288",0,0,0,135,10,2592000,2592054,23000,54,8,"food food trucks","food","US",FALSE,FALSE
"289",3479,1,57,125,3,2478239,2478241,2000,29,5,"dance","dance","US",TRUE,TRUE
"291",1818.43,1,29,124,8,2592000,2592000,1700,11,1,"dance","dance","US",TRUE,FALSE
"292",78.76598221,0,2,129,3,2592000,2592000,4000,52,1,"food drinks","food","GB",FALSE,FALSE
"293",1914.881976,1,56,106,8,4361709,4361709,1500,31,4,"photography fine art","photography","GB",TRUE,FALSE
"295",7374.69,1,96,134,6,2559475,2559477,7000,56,8,"music indie rock","music","US",TRUE,FALSE
"296",70.6670562,0,2,134,4,3888000,3888000,13000,40,9,"food drinks","food","GB",FALSE,FALSE
"297",4169.7900949,0,36,131,6,2592000,2592000,26897,50,7,"photography fine art","photography","GB",FALSE,FALSE
"298",15901,0,76,135,6,2803194,2803194,50000,49,6,"food drinks","food","US",FALSE,FALSE
"299",664.4750938605,1,11,16,1,5184000,5184000,298,21,3,"art painting","art","ES",TRUE,FALSE
"300",3030,1,31,132,7,3580061,3580065,2000,37,4,"publishing poetry","publishing","US",TRUE,FALSE
"301",103640,1,1443,104,6,2792138,2792139,50000,30,5,"publishing poetry","publishing","US",TRUE,TRUE
"302",3310,0,30,87,3,2678400,2678400,30000,34,3,"food drinks","food","US",FALSE,FALSE
"303",1981,1,56,91,7,1686434,1686446,1800,43,6,"dance performances","dance","US",TRUE,FALSE
"305",52904,1,113,48,1,2595600,2595600,50000,37,7,"journalism","journalism","US",TRUE,FALSE
"306",190.7100633,0,12,104,1,3024000,3024000,25000,53,6,"technology gadgets","technology","IT",FALSE,FALSE
"307",2040,1,31,126,9,1296000,1296001,2000,32,3,"art painting","art","US",TRUE,FALSE
"309",266,0,3,121,1,2592000,216763,65335,22,3,"film   video horror","film & video","US",FALSE,FALSE
"314",4729,1,217,134,16,2894518,2894518,1000,13,9,"publishing young adult","publishing","US",TRUE,TRUE
"315",307.26568539,0,12,135,7,2592000,2592001,1000,58,6,"theater immersive","theater","DE",FALSE,FALSE
"316",5431,1,99,108,1,2592000,2592000,5000,12,2,"dance performances","dance","US",TRUE,FALSE
"317",2006,1,23,112,2,2592000,2592000,2000,15,6,"journalism audio","journalism","US",TRUE,FALSE
"318",1092.54915989,1,27,129,14,2304193,2304193,500,48,14,"art conceptual art","art","GB",TRUE,FALSE
"319",36329,1,445,104,8,2592000,2592000,10000,58,7,"food drinks","food","US",TRUE,TRUE
"321",1320,1,13,118,5,2707029,2707029,600,17,3,"dance performances","dance","US",TRUE,FALSE
"322",15044,1,67,133,5,5184000,5184002,15000,54,4,"food drinks","food","US",TRUE,FALSE
"324",10152,1,87,127,5,5184000,5184000,10000,49,5,"music world music","music","US",TRUE,TRUE
"326",1750,1,22,120,4,1900800,1900802,1500,51,5,"art painting","art","US",TRUE,TRUE
"327",0,0,0,123,1,2592000,2592000,2000,52,8,"theater immersive","theater","GB",FALSE,FALSE
"328",32339.20592176,1,442,128,14,2612526,2612526,6000,56,8,"film   video horror","film & video","GB",TRUE,TRUE
"331",165,1,9,114,17,3281818,3281818,150,60,10,"art painting","art","US",TRUE,TRUE
"333",105611,1,163,133,3,5184000,5184001,100000,40,6,"technology robots","technology","US",TRUE,TRUE
"334",34331.52931148,1,147,101,2,2592000,2592000,30000,54,4,"design product design","design","FR",TRUE,FALSE
"335",10998,0,83,81,2,2642336,2642337,35000,51,9,"technology gadgets","technology","US",FALSE,FALSE
"336",1501,1,25,87,36,4011597,4011597,1000,30,26,"art painting","art","US",TRUE,FALSE
"337",828,1,17,74,1,3024000,3024000,500,35,3,"food drinks","food","US",TRUE,FALSE
"338",375,1,11,90,8,2592000,2592000,375,34,2,"technology robots","technology","US",TRUE,FALSE
"339",3135.01,0,53,104,6,2595600,2595600,10000,38,3,"food food trucks","food","US",FALSE,TRUE
"340",0,0,0,124,7,2592000,2592001,90000,55,2,"food food trucks","food","US",FALSE,FALSE
"342",14.3489178,0,4,67,5,5184000,5184000,5000,32,3,"food drinks","food","IT",FALSE,FALSE
"343",1481.49105306,1,25,132,1,4297620,4297620,1100,21,3,"film   video horror","film & video","GB",TRUE,FALSE
"344",4536.17972493,1,73,85,3,2592000,2592000,15900,38,3,"design product design","design","HK",TRUE,TRUE
"345",5300.0875369,1,40,133,25,5163888,5163898,5000,19,4,"journalism photo","journalism","NZ",TRUE,FALSE
"346",2002,1,40,115,8,2592000,2592000,2000,60,9,"publishing poetry","publishing","US",TRUE,FALSE
"350",895.36645784,1,31,131,1,2592000,2592003,1000,54,4,"dance spaces","dance","NZ",TRUE,FALSE
"351",5103,1,49,131,4,2678400,2678404,5000,26,5,"art painting","art","US",TRUE,FALSE
"352",25,0,1,119,3,1814400,1814400,500,60,6,"art painting","art","US",FALSE,FALSE
"353",2550,1,45,82,1,2592000,2592000,2000,45,7,"dance performances","dance","US",TRUE,TRUE
"354",6136,1,55,134,5,4880600,4880604,6000,32,5,"food food trucks","food","US",TRUE,FALSE
"357",1,0,1,48,1,3110400,3110400,20000,37,4,"food food trucks","food","US",FALSE,FALSE
"358",893,1,20,102,9,3019336,3019336,600,42,7,"publishing poetry","publishing","US",TRUE,FALSE
"359",1545,1,34,134,4,2588400,2588404,1000,16,6,"art painting","art","US",TRUE,FALSE
"361",3883,1,75,41,6,2160000,2160000,3200,32,5,"music world music","music","US",TRUE,TRUE
"362",32390,1,323,127,3,2595600,2595600,30000,45,1,"food drinks","food","US",TRUE,FALSE
"363",5075,1,46,118,4,3884400,3884404,5000,14,7,"dance","dance","US",TRUE,FALSE
"364",1991.23794562,0,5,108,9,3177142,3177142,20000,9,3,"food food trucks","food","GB",FALSE,FALSE
"365",4081,1,41,135,13,2592000,2592000,3800,53,8,"food drinks","food","US",TRUE,FALSE
"366",6000,1,142,82,5,2592000,2592000,5000,22,5,"music country   folk","music","US",TRUE,TRUE
"367",297,0,6,89,4,1814400,1814400,500,54,6,"photography fine art","photography","US",FALSE,FALSE
"368",750,1,18,113,7,2592000,2592001,450,34,4,"publishing poetry","publishing","US",TRUE,FALSE
"370",4269,1,59,131,23,2592000,2592000,4200,33,13,"dance","dance","US",TRUE,FALSE
"371",11,0,2,36,1,3888000,689639,5000,51,8,"food food trucks","food","US",FALSE,FALSE
"372",2165.9913612,1,59,62,2,2531306,2531318,1000,21,4,"publishing poetry","publishing","CA",TRUE,TRUE
"373",1,0,1,112,4,3888000,3888045,75000,47,6,"technology robots","technology","US",FALSE,FALSE
"374",3338,1,86,133,4,2595600,2595600,2500,56,7,"dance","dance","US",TRUE,TRUE
"375",0,0,0,134,3,2592000,2592003,25000,29,3,"food food trucks","food","IE",FALSE,FALSE
"376",2091,1,32,119,13,691037,691037,2000,12,11,"dance performances","dance","US",TRUE,TRUE
"377",18942.13,1,118,130,5,2121183,2121183,15000,49,6,"food drinks","food","US",TRUE,FALSE
"378",0,0,0,92,3,2592000,2592000,50000,54,3,"art painting","art","NL",FALSE,FALSE
"379",37403,1,225,90,8,3888000,3888000,30000,47,12,"technology gadgets","technology","US",TRUE,FALSE
"381",4512.20519688,1,63,17,2,2592000,2592000,3000,17,2,"photography fine art","photography","GB",TRUE,FALSE
"382",700.50167168,0,17,30,4,5184000,5184000,30000,6,2,"technology gadgets","technology","FR",FALSE,FALSE
"385",101,0,2,72,11,2592000,2592000,2000,28,6,"journalism","journalism","US",FALSE,FALSE
"387",8409,1,68,132,6,1728000,1728004,7500,52,7,"dance performances","dance","US",TRUE,FALSE
"388",53099.5,1,1057,125,2,2592000,2592001,25000,28,4,"music","music","US",TRUE,TRUE
"390",4929,1,29,105,2,2592000,2592000,4800,26,4,"art painting","art","US",TRUE,FALSE
"391",2705,1,51,83,5,2592000,2592001,2500,16,2,"dance","dance","US",TRUE,FALSE
"392",8741,1,170,63,1,2030332,2030332,650,28,4,"design","design","US",TRUE,FALSE
"393",7114,1,96,98,18,1814400,1814427,7000,53,14,"dance","dance","US",TRUE,FALSE
"394",7246,1,80,131,5,3888000,3888000,7200,44,3,"design product design","design","US",TRUE,FALSE
"395",3135,1,79,36,4,2592000,2592000,3000,13,4,"music","music","US",TRUE,FALSE
"396",2331.50559213,0,30,39,0,2957063,2957065,19000,40,6,"journalism print","journalism","NL",FALSE,FALSE
"398",0,0,0,89,2,2592000,2592000,6000,48,5,"art painting","art","US",FALSE,FALSE
"400",9800,1,142,125,4,2273899,2273912,3500,28,10,"technology gadgets","technology","US",TRUE,FALSE
"401",4148,1,80,135,12,2592000,2592001,4018,49,4,"dance performances","dance","US",TRUE,FALSE
"402",5,0,1,135,1,3888000,3888000,2500,60,3,"fashion ready to wear","fashion","US",FALSE,FALSE
"403",398691.479436491,1,8504,125,2,2595488,2595488,7500,43,7,"design product design","design","CA",TRUE,FALSE
"404",100,0,1,134,3,2592000,2592001,10000,17,3,"fashion ready to wear","fashion","US",FALSE,FALSE
"408",5,0,1,118,6,5187600,2622366,1750,47,6,"film   video horror","film & video","US",FALSE,FALSE
"410",3613,1,80,72,2,2592000,2592000,3500,22,5,"music","music","US",TRUE,FALSE
"411",1726,0,11,124,3,2592000,2592052,6000,19,2,"photography fine art","photography","US",FALSE,FALSE
"412",105471,1,121,80,3,2592000,2592000,25000,46,10,"design product design","design","US",TRUE,FALSE
"413",8711.0395777,1,49,79,2,3459600,3459600,11000,25,4,"food drinks","food","CA",TRUE,FALSE
"414",0,0,0,135,5,2588400,2588400,7000,49,9,"food food trucks","food","US",FALSE,FALSE
"415",344.4001603,1,5,135,2,1382400,1382401,1500,31,6,"art painting","art","DK",TRUE,FALSE
"416",153.59391966,0,6,131,8,2592000,2592001,5000,9,2,"technology gadgets","technology","DE",FALSE,FALSE
"418",1251,1,7,131,9,2592000,2592003,1200,32,26,"film   video narrative film","film & video","US",TRUE,FALSE
"420",2096.11,1,37,115,7,2592000,2592003,1500,60,8,"art public art","art","US",TRUE,FALSE
"421",39724.5,1,743,63,7,2592000,2592000,8000,26,5,"art illustration","art","US",TRUE,TRUE
"422",587,0,16,102,6,2043266,2043266,2800,40,29,"music world music","music","US",FALSE,FALSE
"423",81,1,5,135,2,1995514,1995514,9,19,3,"technology gadgets","technology","US",TRUE,FALSE
"426",0,0,0,128,9,2188177,2188191,9500,19,2,"photography nature","photography","US",FALSE,FALSE
"427",2550,1,37,134,3,2592000,2592001,2300,23,2,"art public art","art","US",TRUE,FALSE
"428",0,0,0,126,3,2592000,2592000,7500,40,30,"music world music","music","US",FALSE,FALSE
"429",17021,1,130,126,16,2764800,2764800,10000,60,11,"technology gadgets","technology","US",TRUE,FALSE
"431",42576.78530258,1,523,97,14,2784389,2784391,15000,44,7,"technology gadgets","technology","FR",TRUE,FALSE
"432",2611.87864668,1,34,131,1,2160000,2160000,1300,52,13,"theater festivals","theater","GB",TRUE,FALSE
"434",3048,1,15,114,5,1500287,1500287,3000,23,3,"theater plays","theater","US",TRUE,FALSE
"435",11,0,1,130,1,4985596,4985596,12000,43,7,"film   video television","film & video","US",FALSE,FALSE
"436",304593,1,4885,126,6,3974400,3974400,10000,59,3,"technology gadgets","technology","US",TRUE,FALSE
"438",26283.02495884,1,1723,46,1,1036835,1036835,250,16,3,"games tabletop games","games","FR",TRUE,FALSE
"439",183.49250535,0,4,135,1,2592000,2592001,5000,40,9,"games live games","games","AU",FALSE,FALSE
"440",0,0,0,126,7,2592000,1837,20000,70,9,"music world music","music","US",FALSE,FALSE
"441",2425.5209955,1,59,119,5,3192017,3192017,1500,37,5,"photography nature","photography","FR",TRUE,FALSE
"442",215.83,0,8,133,3,2678400,2678400,15000,29,7,"music hip hop","music","US",FALSE,FALSE
"443",3567.97296444,1,13,70,12,2592000,2592000,3000,36,3,"art illustration","art","IT",TRUE,FALSE
"444",5028.25,1,52,65,3,2592000,2592000,5000,18,4,"film   video narrative film","film & video","US",TRUE,FALSE
"445",8331.55,1,185,94,4,2684154,2684170,8000,10,10,"film   video narrative film","film & video","US",TRUE,TRUE
"447",100,0,1,134,4,5184000,5184000,5000,58,10,"music world music","music","US",FALSE,FALSE
"449",1487.68669332,1,39,106,1,1814400,1814400,300,54,5,"art illustration","art","DE",TRUE,FALSE
"450",685,1,9,134,5,1296000,1296045,600,20,2,"film   video narrative film","film & video","US",TRUE,FALSE
"451",10,0,1,74,2,2588400,151220,2000,50,5,"photography nature","photography","US",FALSE,FALSE
"457",38036,1,813,67,9,1900800,1900800,35000,16,15,"games tabletop games","games","US",TRUE,FALSE
"458",2.24441702,0,2,54,1,2592000,2592000,3500,11,1,"publishing literary spaces","publishing","ES",FALSE,FALSE
"460",77195.18,1,2154,88,3,3456000,3456000,75000,40,4,"film   video narrative film","film & video","US",TRUE,FALSE
"461",10,0,2,119,12,5173017,5173018,6325,26,9,"music hip hop","music","US",FALSE,FALSE
"462",0,0,0,118,2,2592000,2592000,20000,32,13,"music hip hop","music","US",FALSE,FALSE
"463",23129,1,209,93,3,2724940,2724940,23000,40,6,"dance performances","dance","US",TRUE,FALSE
"464",0,0,0,117,13,2592000,2592000,2500,21,1,"music hip hop","music","US",FALSE,FALSE
"465",4122,1,77,113,12,2588400,2588400,250,35,6,"games tabletop games","games","US",TRUE,FALSE
"466",1081,1,27,72,1,2592000,2592001,1000,29,5,"technology gadgets","technology","US",TRUE,FALSE
"467",224,1,6,87,6,826176,826177,10,22,4,"film   video television","film & video","US",TRUE,FALSE
"468",3550,1,51,127,1,2592000,2592000,3500,7,1,"film   video narrative film","film & video","US",TRUE,FALSE
"469",15451,1,41,123,4,2686862,2686862,15000,16,3,"art public art","art","US",TRUE,FALSE
"471",17751,1,301,77,12,2592000,2592000,1200,14,2,"games tabletop games","games","US",TRUE,FALSE
"472",1195,1,22,128,9,1955688,1955699,900,54,5,"art public art","art","US",TRUE,FALSE
"474",1161.5290984,0,16,128,4,5187600,5187600,11000,27,3,"games live games","games","GB",FALSE,FALSE
"475",182961.25,1,3634,109,4,2592000,2592000,3000,47,8,"games tabletop games","games","US",TRUE,FALSE
"476",2704.5653664,0,39,100,1,2592000,2592000,17500,34,4,"music world music","music","DE",FALSE,FALSE
"478",127.0630932,0,5,126,4,1817455,1817455,109000,20,3,"music world music","music","CA",FALSE,FALSE
"479",6.5508700977,0,1,135,0,2592000,2592000,1000,26,22,"games live games","games","CA",FALSE,FALSE
"480",2370,1,30,122,12,2600585,2600585,2000,60,12,"dance performances","dance","US",TRUE,FALSE
"481",2592,1,339,135,2,5184000,5184000,750,25,4,"games tabletop games","games","US",TRUE,FALSE
"482",91262.46352911,1,792,135,2,3888000,3888001,10000,59,3,"games tabletop games","games","GB",TRUE,FALSE
"483",69400.82,1,882,133,8,2592000,2592000,22000,22,5,"art illustration","art","US",TRUE,FALSE
"484",1221,1,14,71,11,1439007,1439007,1200,46,4,"dance performances","dance","US",TRUE,FALSE
"485",10338.45737004,1,184,110,3,2590049,2590049,8000,18,3,"theater experimental","theater","GB",TRUE,TRUE
"486",9145,1,233,130,1,2592000,2592000,6000,21,3,"publishing anthologies","publishing","US",TRUE,TRUE
"489",5142.0071144,1,99,107,2,3888000,3888003,10000,54,8,"technology gadgets","technology","HK",TRUE,FALSE
"490",387.5799582,1,9,124,2,691200,691200,400,30,5,"art illustration","art","DK",TRUE,FALSE
"491",2443,1,20,133,5,1209600,1209600,2400,52,7,"journalism photo","journalism","US",TRUE,FALSE
"494",0,0,0,131,8,2160000,260417,15000,54,9,"film   video television","film & video","CA",FALSE,FALSE
"496",5166,1,23,116,23,2439424,2439435,4500,56,13,"art public art","art","US",TRUE,TRUE
"502",203099,1,1002,81,1,2592000,2592000,100000,48,6,"technology gadgets","technology","US",TRUE,TRUE
